Price,Location,Mileage,Engine,Manufacturer,Year,Model,Fuel_Type
"Rs: 3,850,000",Delgoda,"150,000",1000,Perodua,2009,Viva,Petrol
"Rs: 11,000,000",Horana,"2,000",1198,Nissan,2023,Note,Petrol
"Rs: 8,300,000",Horana,"2,000",658,Daihatsu,2023,Taft,Petrol
"Rs: 8,300,000",Horana,0,658,Daihatsu,2023,Taft,Petrol
"Rs: 8,300,000",Kottawa,0,650,Suzuki,2025,Wagon R,Hybrid
"Rs: 7,700,000",Gampaha,"79,000",1496,Toyota,2018,Vitz,Hybrid
"Rs: 11,000,000",Anuradhapura,500,1198,Nissan,2023,Note,Petrol
"Rs: 7,000,000",Moratuwa,"110,000",1339,Honda,2011,Fit,Petrol
"Rs: 5,200,000",Kalmunai,"80,000",1000,Suzuki,2015,Celerio,Petrol
"Rs: 5,400,000",Wattala,"175,000",1500,Toyota,2002,Corolla,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 5,975,000",Boralesgamuwa,"45,000",660,KIA,2016,Picanto,Petrol
Negotiable,Nugegoda,"8,000",658,Daihatsu,2023,Taft,Petrol
"Rs: 2,200,000",Batticaloa,"125,000",800,Chery,2010,QQ,Petrol
Negotiable,Gampaha,"53,000",650,Toyota,2015,Pixis,Petrol
Negotiable,Nittambuwa,0,1000,Toyota,2025,Yaris,Petrol
"Rs: 6,750,000",Marawila,"60,000",650,Suzuki,2017,Wagon R,Hybrid
"Rs: 5,725,000",Kadawatha,"64,000",1000,Suzuki,2018,Celerio,Petrol
"Rs: 5,290,000",Kadawatha,"115,000",1000,Suzuki,2016,Celerio,Petrol
"Rs: 5,790,000",Kadawatha,"119,000",1000,Perodua,2017,Axia,Petrol
"Rs: 6,000,000",Athurugiriya,"83,000",660,Suzuki,2014,Wagon R,Hybrid
"Rs: 5,750,000",Kadawatha,"111,000",1000,Perodua,2017,Axia,Petrol
"Rs: 5,390,000",Kadawatha,"64,000",1000,Suzuki,2018,Celerio,Petrol
Negotiable,Kohuwala,"8,900",1200,Peugeot,2023,408,Petrol
Negotiable,Kohuwala,0,2025,Daihatsu,2025,Taft,Petrol
Negotiable,Adampan,"158,000",1350,Nissan,2004,Cefiro,Petrol
"Rs: 9,800,000",Hapugala,"88,500",1500,Honda,2017,Grace,Hybrid
"Rs: 3,700,000",Kundasale,"200,000",800,Suzuki,2014,Alto,Petrol
Negotiable,Weliveriya,0,1500,Toyota,2011,Allion,Petrol
Negotiable,Negombo,"218,136",2171,BMW,2003,1 Series,Petrol
"Rs: 7,025,000",Nittambuwa,"152,600",1500,Toyota,2013,Aqua,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 6,700,000",Kiribathgoda,"210,000",1500,Toyota,2005,Allion,Petrol
"Rs: 7,000,000",Embilipitiya,"1,013,000",1333,Honda,2009,Insight,Hybrid
"Rs: 22,000,000",Gampaha,"107,000",2000,BMW,2014,M Series,Diesel
"Rs: 4,500,000",Monaragala,"190,000",1490,Nissan,2004,Bluebird,Petrol
"Rs: 4,200,000",Kalmunai,"48,000",800,Hyundai,2017,Eon,Petrol
"Rs: 3,450,000",Dambulla,"100,000",900,Nissan,2003,March,Petrol
"Rs: 5,995,000",Panadura,0,650,Suzuki,2018,Wagon R,Petrol
"Rs: 3,295,000",Panadura,0,1500,Micro,2012,MX7,Petrol
"Rs: 7,500,000",Kurunegala,"3,400",690,Suzuki,2024,Wagon R,Hybrid
"Rs: 6,500,000",Kurunegala,"3,500",690,Daihatsu,2024,Mira,Hybrid
"Rs: 9,500,000",Kurunegala,"3,500",690,Suzuki,2025,Spacia,Hybrid
"Rs: 7,500,000",Kurunegala,"3,500",690,Suzuki,2025,Wagon R,Hybrid
"Rs: 7,200,000",Kurunegala,"3,500",690,Suzuki,2023,Wagon R,Hybrid
"Rs: 8,500,000",Kurunegala,"3,500",690,Toyota,2023,Yaris,Hybrid
"Rs: 7,850,000",Kurunegala,"3,500",690,Daihatsu,2025,Taft,Hybrid
Negotiable,Kurunegala,"3,500",690,Suzuki,2024,Hustler,Hybrid
"Rs: 4,400,000",Kandana,"183,000",1500,Toyota,1998,Corsa,Petrol
"Rs: 4,350,000",Adampan,"103,000",1000,Perodua,2012,Elite,Petrol
"Rs: 7,950,000",Horana,"129,000",1500,Toyota,2015,Aqua,Hybrid
Negotiable,Warakapola,"385,786",1970,Nissan,1997,Pulsar,Diesel
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 6,400,000",Pallekelle,"61,000",658,Daihatsu,2017,Move,Petrol
"Rs: 8,500,000",Borella (Colombo 08),"235,000",1790,Toyota,2010,Premio,Petrol
"Rs: 9,400,000",Bombuwala,"115,000",1500,Toyota,2015,Axio,Hybrid
"Rs: 3,870,000",Meegoda,0,1005,Mazda,2001,Familia,Petrol
Negotiable,Ja-Ela,"196,000",1590,Toyota,2004,Carina,Petrol
Negotiable,Dankotuwa,"120,000",1300,Toyota,2014,Aqua,Hybrid
"Rs: 13,000,000",Kadawatha,"120,000",2000,BMW,2011,3 Series,Diesel
"Rs: 12,890,000",Kadawatha,"8,200",1200,Nissan,2024,Note,Hybrid
"Rs: 7,450,000",Pannipitiya,"130,000",660,Suzuki,2018,Spacia,Hybrid
"Rs: 3,700,000",Colombo Fort (Colombo 01),"128,000",800,Suzuki,2015,Alto,Petrol
"Rs: 2,750,000",Alawwa,0,1290,Toyota,1996,Tercel,Petrol
Negotiable,Kelaniya,"137,000",1000,Toyota,2012,Aqua,Hybrid
Negotiable,Kottawa,"350,000",1000,Toyota,1997,Corolla,Petrol
Negotiable,Dehiwala,"160,000",1000,Honda,2014,Fit,Petrol
"Rs: 3,850,000",Katunayake,"119,678",1000,Suzuki,2012,A Star,Petrol
"Rs: 8,900,000",Galnewa,0,650,Daihatsu,2025,Taft,Petrol
"Rs: 4,300,000",Anuradhapura,0,1300,Mitsubishi,1990,Lancer,Petrol
Negotiable,Kandana,"1,500",1200,Suzuki,2023,Alto,Hybrid
"Rs: 5,800,000",Matara,"200,000",1300,Toyota,2010,Vitz,Petrol
"Rs: 3,675,000",Homagama,"103,000",800,Suzuki,2015,Alto,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 3,625,000",Katugastota,"75,000",1000,Toyota,2000,Starlet,Petrol
"Rs: 5,600,000",Mahiyanganaya,"100,000",1300,Mitsubishi,2003,Lancer,Petrol
"Rs: 4,600,000",Polonnaruwa,"100,000",1000,Mitsubishi,1992,Lancer,Petrol
"Rs: 1,900,000",Badulla,"100,000",1300,Toyota,1990,DX Wagon,Petrol
"Rs: 14,500,000",Panadura,"131,500",1500,Lexus,2014,LX,Petrol
"Rs: 7,650,000",Kandana,"4,500",660,Suzuki,2024,Wagon R,Petrol
"Rs: 4,150,000",Katunayake,"187,654",1300,Suzuki,2004,Swift,Petrol
"Rs: 2,775,000",Moratuwa,"100,000",1600,Ford,1998,Laser,Petrol
"Rs: 5,475,000",Gampaha,"170,000",1500,Mitsubishi,2002,Lancer,Petrol
Negotiable,Kurunegala,"170,000",1000,Toyota,2013,Prius,Hybrid
"Rs: 4,285,000",Moratuwa,"112,000",1000,Perodua,2011,Elite,Petrol
"Rs: 5,650,000",Moratuwa,"167,236",1000,Perodua,2016,Axia,Petrol
"Rs: 5,600,000",Welimada,"63,710",660,Suzuki,2014,Wagon R,Petrol
"Rs: 8,975,000",Kadawatha,"85,000",1329,Toyota,2017,Yaris Ativ,Petrol
"Rs: 4,300,000",Anuradhapura,"200,000",1300,Mitsubishi,2002,Lancer,Petrol
"Rs: 3,785,000",Moratuwa,"120,724",800,Renault,2016,KWID,Petrol
Negotiable,Divulapitiya,"162,000",1000,Toyota,2006,Belta,Petrol
"Rs: 6,950,000",Moratuwa,"90,930",650,Suzuki,2017,Wagon R,Hybrid
"Rs: 8,900,000",Negombo,"218,136",2171,BMW,2003,5 Series,Petrol
"Rs: 5,750,000",Nugegoda,"145,000",1000,KIA,2016,Picanto,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 5,400,000",Akurana,"128,000",1000,Toyota,2007,Vitz,Petrol
Negotiable,Wellawatta (Colombo 06),"90,000",99000,Audi,2018,A1,Petrol
"Rs: 8,275,000",Horana,"31,000",660,Daihatsu,2023,Taft,Petrol
"Rs: 2,550,000",Narahenpita (Colombo 05),"150,000",1500,KIA,2002,Rio,Petrol
"Rs: 6,550,000",Anuradhapura,"93,000",660,Suzuki,2018,Wagon R,Hybrid
"Rs: 4,200,000",Ukuwela,"169,000",1800,Nissan,2000,Bluebird,Petrol
"Rs: 6,120,000",Talawatugoda,"140,000",998,Perodua,2017,Bezza,Petrol
"Rs: 4,450,000",Gampaha,"119,000",1300,Suzuki,2004,Swift,Petrol
"Rs: 8,675,000",Bellanwila,0,660,Nissan,2024,Roox,Hybrid
"Rs: 3,800,000",Batticaloa,"58,000",650,Suzuki,2014,Alto,Petrol
"Rs: 4,900,000",Kelaniya,"191,000",1500,Honda,1998,Civic,Petrol
"Rs: 5,250,000",Kadawatha,"97,000",1000,KIA,2016,Picanto,Petrol
"Rs: 6,985,000",Pannipitiya,"92,000",1000,Toyota,2015,Vitz,Petrol
"Rs: 5,350,000",Waikkal,"152,000",1000,Toyota,2008,Vitz,Petrol
"Rs: 5,200,000",Waikkal,"149,000",1000,Toyota,2007,Vitz,Petrol
"Rs: 5,350,000",Waikkal,"170,000",1300,Suzuki,2009,Swift,Petrol
Negotiable,Waikkal,"140,000",1300,Suzuki,2008,Swift,Petrol
"Rs: 2,300,000",Kalutara,"144,000",1500,Hyundai,2000,Sonata,Petrol
Negotiable,Mulleriyawa New Town,"95,580",660,Mitsubishi,2015,eK,Petrol
Negotiable,Kottawa,0,800,Suzuki,2004,Maruti,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 4,600,000",Ragama,"180,000",1600,Toyota,1998,Corona,Petrol
"Rs: 2,950,000",Gampaha,"100,000",800,Suzuki,2011,Alto,Petrol
"Rs: 890,000",Kuliyapitiya,"100,000",1500,Toyota,1985,Carina,Petrol
Negotiable,Kottawa,0,1341,Hyundai,2001,Accent,Petrol
"Rs: 2,150,000",Yakkala,"100,000",1300,Nissan,1998,Sunny,Petrol
Negotiable,Kottawa,0,2000,Citroen,1997,E-C4,Petrol
Negotiable,Kottawa,"123,456",800,Suzuki,2011,Alto,Petrol
Negotiable,Kottawa,"123,456",800,Suzuki,2011,Estilo,Petrol
Negotiable,Kottawa,0,1500,Proton,2000,Waja,Petrol
"Rs: 8,100,000",Katugastota,0,990,Honda,2014,Fit,Petrol
"Rs: 6,800,000",Borella (Colombo 08),"27,000",1000,Honda,2016,S660,Petrol
"Rs: 3,700,000",Balangoda,0,800,Suzuki,2016,Alto,Petrol
"Rs: 9,400,000",Negombo,"27,650",1000,Toyota,2023,Yaris,Petrol
"Rs: 2,800,000",Katugastota,"295,000",1500,Toyota,1995,Corolla,Petrol
"Rs: 7,500,000",Raddolugama,"104,000",1500,Toyota,2013,Aqua,Hybrid
"Rs: 3,300,000",Polonnaruwa,"86,525",1300,Micro,2013,Panda Cross,Petrol
Negotiable,Kottawa,0,1500,Toyota,2013,Prius,Hybrid
"Rs: 5,350,000",Embilipitiya,"210,000",1500,Honda,2004,Civic,Petrol
Negotiable,Kottawa,"123,456",1500,Peugeot,2000,406,Petrol
Negotiable,Kottawa,"123,456",1500,Hyundai,2015,Eon,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 7,350,000",Kurunegala,"106,000",1500,Toyota,2014,Aqua,Hybrid
"Rs: 6,450,000",Matale,"159,500",1300,Toyota,2010,Belta,Petrol
"Rs: 3,700,000",Battaramulla,"200,000",800,Suzuki,2015,Alto,Petrol
"Rs: 9,500,000",Kurunegala,"20,000",1000,Toyota,2023,Yaris,Petrol
Negotiable,Warakapola,0,1000,Daihatsu,2024,Mira,Petrol
"Rs: 1,590,000",Kiribathgoda,"47,000",1331,Toyota,1992,Corolla,Petrol
"Rs: 6,000,000",Baduraliya,"150,000",650,Suzuki,2017,Wagon R,Hybrid
"Rs: 5,100,000",Galle,"87,000",650,Suzuki,2014,Wagon R,Petrol
"Rs: 3,700,000",Ampara,"92,000",690,Suzuki,2015,Alto,Petrol
"Rs: 3,800,000",Baduraliya,"116,000",800,Suzuki,2015,Alto,Petrol
Negotiable,Nittambuwa,0,2490,Mercedes Benz,2012,EQE300,Petrol
"Rs: 2,450,000",Thihagoda,"70,000",800,Suzuki,2011,Maruti,Petrol
"Rs: 1,175,000",Kurunegala,0,1400,Mitsubishi,1980,Lancer,Petrol
"Rs: 5,175,000",Pallewela,"82,000",1000,Suzuki,2016,Alto,Petrol
"Rs: 4,800,000",Mandawala,"75,000",1300,Nissan,2001,Sunny,Petrol
"Rs: 5,150,000",Trincomalee,"78,000",1000,Suzuki,2016,Celerio,Petrol
Negotiable,Athurugiriya,"161,000",1300,Honda,2010,Fit,Hybrid
"Rs: 6,250,000",Veyangoda,"139,000",1000,Toyota,2014,Vitz,Petrol
Negotiable,Negombo,"92,000",650,Suzuki,2016,Wagon R,Hybrid
"Rs: 8,500,000",Kurunegala,0,650,Nissan,2023,Dayz,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 4,400,000",Moratuwa,"165,000",1300,Suzuki,2004,Swift,Petrol
Negotiable,Wennappuwa,0,1300,Honda,2013,Fit,Petrol
"Rs: 7,790,000",Kottawa,"13,500",660,Honda,2023,N BOX,Petrol
Negotiable,Wennappuwa,0,1300,Honda,2014,Fit,Petrol
Negotiable,Wennappuwa,0,1300,Honda,2013,Fit,Petrol
Negotiable,Wennappuwa,0,1300,Honda,2014,Fit,Petrol
Negotiable,Wennappuwa,0,1300,Honda,2012,Fit,Petrol
Negotiable,Wennappuwa,0,1490,Honda,2012,Fit,Petrol
Negotiable,Wennappuwa,0,1330,Honda,2013,Fit,Petrol
"Rs: 2,630,000",Ampara,"165,000",1500,Hyundai,2002,Accent,Petrol
"Rs: 28,700,000",Kohuwala,"7,000",1330,Mercedes Benz,2023,A250,Petrol
Negotiable,Kohuwala,0,1000,Toyota,2023,Yaris,Petrol
Negotiable,Kaduwela,"18,500",1500,Toyota,2023,Aqua,Hybrid
Negotiable,Kalagedihena,0,650,Suzuki,2024,Spacia,Petrol
"Rs: 7,150,000",Anuradhapura,"128,000",1600,Toyota,2006,Corolla,Petrol
"Rs: 8,200,000",Kohuwala,0,650,Nissan,2023,Dayz,Petrol
"Rs: 6,950,000",Galle,"136,000",1500,Toyota,2012,Aqua,Hybrid
"Rs: 2,690,000",Batawala,"280,000",1000,Toyota,2002,Corolla,Petrol
"Rs: 5,890,000",Ja-Ela,"132,000",660,Suzuki,2017,Spacia,Petrol
"Rs: 6,750,000",Wattala,"82,000",1000,Honda,2010,Fit,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 7,720,000",Ragama,"5,000",660,Suzuki,2024,Wagon R,Hybrid
"Rs: 5,500,000",Rajagiriya,"175,000",2000,Honda,1998,Integra,Petrol
"Rs: 7,125,000",Kottawa,0,650,Mitsubishi,2023,eK,Petrol
"Rs: 9,350,000",Kottawa,0,1000,Suzuki,2023,XBee,Petrol
"Rs: 7,950,000",Badulla,"32,900",1000,Toyota,2016,Vitz,Petrol
"Rs: 7,600,000",Kottawa,0,660,Daihatsu,2023,Taft,Petrol
Negotiable,Nittambuwa,0,1000,Toyota,2018,Vitz,Petrol
"Rs: 8,350,000",Kottawa,0,1000,Toyota,2023,Passo,Petrol
"Rs: 8,575,000",Kottawa,0,660,Daihatsu,2023,Thor,Petrol
"Rs: 8,200,000",Moratuwa,"180,000",1500,Toyota,2007,Allion,Petrol
"Rs: 4,875,000",Ambalantota,"280,000",2140,Toyota,2001,Corolla,Diesel
"Rs: 2,700,000",Dompe,"100,000",1300,Toyota,1997,Tercel,Petrol
"Rs: 19,700,000",Kalubowila,"50,000",2000,Mercedes Benz,2015,Car,Hybrid
"Rs: 3,900,000",Vavuniya,"94,000",800,Suzuki,2015,Alto,Petrol
"Rs: 7,150,000",Kottawa,0,660,Nissan,2024,Dayz,Petrol
"Rs: 7,800,000",Kottawa,0,990,Daihatsu,2025,Taft,Petrol
"Rs: 7,250,000",Kottawa,0,660,Nissan,2024,Dayz,Petrol
"Rs: 7,500,000",Hokandara,"138,000",1800,Toyota,2011,Prius,Hybrid
"Rs: 3,500,000",Colombo Fort (Colombo 01),"111,000",650,Suzuki,2012,Alto,Petrol
"Rs: 3,500,000",Horana,"75,000",800,Suzuki,2011,Alto,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 3,600,000",Uragasmanhandiya,"193,000",1240,Nissan,2002,March,Petrol
"Rs: 9,000,000",Panadura,"230,000",1500,Toyota,2010,Allion,Petrol
"Rs: 4,350,000",Kuliyapitiya,"84,000",1000,Suzuki,2015,Alto,Petrol
Negotiable,Nittambuwa,0,850,Suzuki,2025,Wagon R,Hybrid
Negotiable,Nittambuwa,0,850,Mitsubishi,2024,eK,Petrol
Negotiable,Nittambuwa,0,850,Suzuki,2025,Wagon R,Petrol
Negotiable,Nittambuwa,0,1000,Toyota,2024,Yaris,Petrol
"Rs: 7,500,000",Kelaniya,"38,000",990,Toyota,2018,Vitz,Petrol
"Rs: 6,500,000",Kelaniya,"20,000",660,Toyota,2023,Pixis,Petrol
Negotiable,Homagama,"195,000",1330,Honda,2011,Fit,Hybrid
"Rs: 12,000,000",Kottawa,"103,140",1200,Toyota,2019,Yaris Ativ,Petrol
"Rs: 8,700,000",Kelaniya,"8,900",650,Nissan,2023,Dayz,Petrol
"Rs: 8,000,000",Wattala,"120,000",1500,Toyota,2014,Aqua,Petrol
"Rs: 3,750,000",Moratuwa,"70,000",800,Suzuki,2015,Alto,Petrol
"Rs: 3,800,000",Pannala,0,650,Suzuki,2015,Alto,Petrol
"Rs: 2,275,000",Minuwangoda,"294,000",1500,Toyota,1990,Sprinter,Petrol
"Rs: 2,750,000",Karativu,"350,000",1970,Nissan,1996,FB 14,Diesel
"Rs: 3,200,000",Dodangoda,123,800,Suzuki,2007,Alto,Petrol
"Rs: 6,290,000",Kesbewa,"17,900",1200,Daihatsu,2023,Mira,Petrol
Negotiable,Kurunegala,"8,000",1000,Suzuki,2024,XBee,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 8,850,000",Ampara,"85,000",1200,Toyota,2014,Axio,Petrol
"Rs: 8,800,000",Wariyapola,0,660,Suzuki,2025,Wagon R,Petrol
"Rs: 6,075,000",Pallewela,"75,000",1000,Suzuki,2018,Every,Petrol
"Rs: 5,950,000",Pallewela,"75,000",1000,Suzuki,2018,Every,Petrol
"Rs: 6,950,000",Kottawa,"6,600",660,Mitsubishi,2023,eK,Petrol
"Rs: 2,900,000",Piliyandala,"150,000",1000,Micro,2014,Panda,Petrol
Negotiable,Kelaniya,0,1500,Audi,2024,A3,Petrol
"Rs: 7,300,000",Kottawa,"6,600",660,Nissan,2024,Dayz,Petrol
Negotiable,Kelaniya,0,1300,Mercedes Benz,2024,A Class,Hybrid
"Rs: 3,300,000",Bibile,"160,000",1300,Mazda,2002,Familia,Petrol
"Rs: 6,350,000",Kottawa,"6,600",660,Daihatsu,2023,Mira,Petrol
"Rs: 4,000,000",Trincomalee,"83,000",800,Suzuki,2016,Alto,Petrol
"Rs: 6,650,000",Dehiwala,"124,000",660,Suzuki,2017,Spacia,Hybrid
"Rs: 7,650,000",Kottawa,"6,600",660,Honda,2023,N BOX,Petrol
Negotiable,Kurunegala,"135,000",1600,Toyota,2017,Premio,Petrol
Negotiable,Puttalam,"146,500",1500,Toyota,2014,Premio,Petrol
"Rs: 1,675,000",Piliyandala,"238,000",1300,Ford,1993,Laser,Petrol
Negotiable,Nittambuwa,0,850,Suzuki,2025,Spacia,Petrol
Negotiable,Nittambuwa,0,850,Suzuki,2018,Wagon R,Petrol
Negotiable,Kandy,0,650,Toyota,2023,Roomy,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Nittambuwa,0,650,Suzuki,2016,Wagon R,Petrol
Negotiable,Kohuwala,"94,000",1000,Suzuki,2017,Swift,Petrol
Negotiable,Kohuwala,"32,000",1000,Toyota,2018,Vitz,Petrol
"Rs: 1,625,000",Mawathagama,"124,000",1500,Toyota,1987,Carina,Petrol
"Rs: 3,290,000",Katugastota,"146,000",899,Suzuki,2011,Alto,Petrol
"Rs: 6,400,000",Kurunegala,"247,000",650,Honda,2011,Fit,Petrol
"Rs: 5,200,000",Katugastota,"75,000",650,Suzuki,2015,Wagon R,Petrol
"Rs: 3,380,000",Hingurakgoda,"75,000",1300,Nissan,2003,Cefiro,Petrol
"Rs: 3,900,000",Katunayake,"100,000",1300,Tata,2006,Indica,Petrol
"Rs: 6,600,000",Nugegoda,"81,300",650,Suzuki,2017,Wagon R,Petrol
"Rs: 9,000,000",Polonnaruwa,"100,000",1500,Toyota,2007,Premio,Petrol
"Rs: 6,900,000",Ratnapura,"135,000",1000,Toyota,2016,Vitz,Petrol
Negotiable,Kuliyapitiya,"75,000",1000,Daewoo,2000,Matiz,Petrol
"Rs: 5,500,000",Kottawa,"100,000",1800,Mitsubishi,2003,Lancer,Petrol
Negotiable,Kurunegala,400,1200,Hyundai,2025,Grand i10,Petrol
"Rs: 8,300,000",Embilipitiya,"193,000",1500,Honda,2014,Grace,Hybrid
"Rs: 3,300,000",Kadawatha,"148,000",800,Datsun,2016,Redi Go,Petrol
Negotiable,Polonnaruwa,0,650,Geely,2015,Panda,Petrol
"Rs: 6,990,000",Kurunegala,"107,000",990,Toyota,2016,Vitz,Petrol
"Rs: 3,850,000",Embilipitiya,"100,000",1200,Suzuki,2003,Swift,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 5,350,000",Batticaloa,"153,000",1320,Suzuki,2005,Swift,Petrol
"Rs: 2,150,000",Matara,"100,000",800,Suzuki,2006,Maruti,Petrol
Negotiable,Nittambuwa,0,650,Suzuki,2025,Every,Petrol
"Rs: 4,130,000",Kaduwela,"100,000",1300,Nissan,2000,FB 15,Petrol
Negotiable,Nittambuwa,0,1200,Toyota,2025,Yaris,Petrol
"Rs: 5,250,000",Maradana (Colombo 10),"138,000",1300,Suzuki,2005,Swift,Petrol
"Rs: 3,950,000",Kimbulapitiya,"75,000",1000,Toyota,1999,Starlet,Petrol
"Rs: 8,100,000",Kelaniya,0,650,Suzuki,2023,Wagon R,Petrol
"Rs: 3,450,000",Peradeniya,"75,000",1000,Perodua,2007,Kelisa,Petrol
"Rs: 2,395,000",Godagama,"106,000",1495,Hyundai,2000,Accent,Petrol
"Rs: 2,795,000",Godagama,"95,000",1699,Hyundai,2001,Elantra,Petrol
"Rs: 1,495,000",Katunayake,"100,000",1000,Nissan,1992,Sunny,Petrol
"Rs: 4,100,000",Malabe,"200,000",1500,Honda,1999,Civic,Petrol
"Rs: 3,500,000",Negombo,"216,000",1940,Nissan,2001,Wingroad,Petrol
Negotiable,Moratuwa,"109,000",1300,Suzuki,2007,Swift,Petrol
"Rs: 7,250,000",Moratuwa,"156,487",1500,Toyota,2009,Prius,Petrol
"Rs: 4,450,000",Anuradhapura,"198,000",1600,Nissan,2004,Sunny,Petrol
"Rs: 6,900,000",Kesbewa,"100,000",1500,Toyota,2012,Aqua,Petrol
"Rs: 5,500,000",Malabe,"90,000",1000,Perodua,2016,Axia,Petrol
"Rs: 3,600,000",Panadura,"210,000",1500,Mazda,2001,Familia,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 7,300,000",Anuradhapura,"12,000",650,Suzuki,2024,Wagon R,Petrol
"Rs: 1,650,000",Bandarawela,"297,500",1500,Nissan,1984,B11,Petrol
"Rs: 2,250,000",Mirigama,0,800,Suzuki,2011,Maruti,Petrol
Negotiable,Kohuwala,"19,000",1200,Suzuki,2024,Swift,Petrol
Negotiable,Kohuwala,"71,000",1000,Suzuki,2017,Swift,Petrol
"Rs: 2,600,000",Kesbewa,0,1000,Mitsubishi,1992,Lancer,Petrol
Negotiable,Kandy,0,624,Tata,2014,Nano,Petrol
"Rs: 1,495,000",Katunayake,0,1000,Nissan,1992,Sunny,Petrol
"Rs: 850,000",Negombo,"200,000",1400,Mitsubishi,1982,Lancer,Petrol
"Rs: 5,790,000",Dambulla,"100,000",1600,Mitsubishi,2003,Lancer,Petrol
"Rs: 3,650,000",Kesbewa,0,800,Suzuki,2014,Alto,Petrol
"Rs: 7,300,000",Boralesgamuwa,"140,000",1000,Toyota,2017,Vitz,Hybrid
"Rs: 3,175,000",Anuradhapura,"80,000",989,Perodua,2006,Kelisa,Petrol
"Rs: 1,175,000",Pelmadulla,0,1300,Toyota,1986,DX Wagon,Petrol
"Rs: 3,200,000",Delgoda,"120,000",1500,Nissan,1998,Sunny,Petrol
"Rs: 5,870,000",Kandy,"100,000",1800,MG,2014,6,Petrol
