Price,Location,Mileage,Engine,Manufacturer,Year,Model,Fuel_Type
"Rs: 5,550,000",Kaleliya,"120,000",1000,Toyota,2008,Vitz,Petrol
"Rs: 3,600,000",Kegalle,"92,000",800,Suzuki,2015,Alto,Petrol
"Rs: 4,150,000",Vavuniya,"76,000",800,Suzuki,2015,Alto,Petrol
"Rs: 3,750,000",Colombo Fort (Colombo 01),"170,000",1200,Nissan,2001,Primera,Petrol
Negotiable,Monaragala,"167,000",1200,Honda,2003,Fit,Petrol
"Rs: 7,900,000",Negombo,"157,000",1490,Toyota,2006,Camry,Petrol
"Rs: 5,375,000",Nugegoda,"130,000",1500,Toyota,2003,Vios,Petrol
"Rs: 1,150,000",Panadura,"150,000",1300,Nissan,1985,B11,Petrol
"Rs: 13,500,000",Padukka,"106,000",1500,Toyota,2018,Axio,Hybrid
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 900,000",Padaviya,"20,000",1200,Toyota,1986,DX Wagon,Petrol
"Rs: 8,800,000",Kegalle,"154,000",1490,Honda,2014,Grace,Hybrid
"Rs: 6,300,000",Kalutara,"165,000",1500,Toyota,2007,Prius,Hybrid
"Rs: 8,200,000",Kurunegala,0,660,Daihatsu,2025,Tanto,Petrol
Negotiable,Ja-Ela,"175,000",1500,Toyota,2011,Allion,Petrol
"Rs: 7,300,000",Kuliyapitiya,0,600,Suzuki,2024,Wagon R,Hybrid
Negotiable,Kandy,"400,000",1300,Toyota,1988,Corolla,Petrol
Negotiable,Kuliyapitiya,"15,000",1500,Toyota,2023,Yaris,Hybrid
Negotiable,Kurunegala,0,1490,Nissan,1999,Sunny,Petrol
Negotiable,Kotte,0,1490,Toyota,2018,Axio,Petrol
"Rs: 5,450,000",Kandy,"37,445",1000,Perodua,2016,Axia,Petrol
Negotiable,Minuwangoda,"7,000",658,Nissan,2024,Dayz,Hybrid
Negotiable,Halloluwa,0,1500,Toyota,1997,Carina,Petrol
"Rs: 7,925,000",Trincomalee,"190,000",1330,Honda,2009,Insight,Hybrid
Negotiable,Sooriyawewa Town,"119,000",1000,Toyota,2013,Aqua,Petrol
Negotiable,Akarella,"245,000",1329,Toyota,2014,Axio,Petrol
Negotiable,Alutgama,"106,500",1000,Toyota,2013,Prius,Hybrid
"Rs: 450,000",Horana,0,1000,Ford,1959,Prefect,Petrol
"Rs: 13,600,000",Athurugiriya,"146,000",999,Audi,2019,Q2,Petrol
Negotiable,Wariyapola,"69,000",800,Suzuki,2010,Astra,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 6,700,000",Angoda,0,650,Toyota,2024,Pixis,Petrol
Negotiable,Negombo,"107,000",1500,Toyota,2014,Aqua,Petrol
Negotiable,Negombo,0,650,Suzuki,2024,Wagon R,Petrol
Negotiable,Negombo,100,650,Suzuki,2024,Wagon R,Petrol
"Rs: 1,950,000",Kaduwela,"100,000",800,Suzuki,2000,Maruti,Petrol
Negotiable,Negombo,100,1500,Honda,2025,City,Petrol
"Rs: 3,400,000",Kuliyapitiya,"140,000",1000,Renault,2016,KWID,Petrol
Negotiable,Negombo,"57,000",1500,Honda,2018,Civic,Petrol
"Rs: 6,250,000",Kalutara,"30,250",650,Honda,2017,N WGN,Petrol
"Rs: 8,000,000",Akarella,"245,000",1329,Toyota,2014,Axio,Petrol
"Rs: 850,000",Horana,0,1200,Toyota,1977,Corolla,Petrol
Negotiable,Kurunegala,"20,000",1000,Toyota,2023,Yaris,Petrol
Negotiable,Akaragama,"169,000",650,Suzuki,2017,Wagon R,Petrol
"Rs: 1,450,000",Horana,0,1300,Toyota,1986,Starlet,Petrol
"Rs: 5,750,000",Kurunegala,"126,000",650,Suzuki,2014,Wagon R,Petrol
"Rs: 3,750,000",Kotte,"130,000",800,Suzuki,2015,Alto,Petrol
"Rs: 8,350,000",Bopitiya,"135,000",1500,Toyota,2013,Axio,Petrol
"Rs: 2,500,000",Horana,0,1200,Hyundai,2005,Santro,Petrol
"Rs: 3,690,000",Malabe,"151,000",650,Daihatsu,2003,Mira,Petrol
Negotiable,Akarawita,"130,000",1000,Toyota,2016,Vitz,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 8,900,000",Kollupitiya (Colombo 03),"127,000",1500,Honda,2015,Grace,Hybrid
"Rs: 3,500,000",Horana,0,1500,Toyota,1996,Corolla,Petrol
"Rs: 3,900,000",Horana,0,1000,Toyota,2001,Platz,Petrol
Negotiable,Alahengama,"153,000",1500,Toyota,2013,Premio,Petrol
"Rs: 4,675,000",Adampan,"92,000",1000,Perodua,2013,Viva,Petrol
"Rs: 3,400,000",Matugama,"23,000",1500,Toyota,1992,Carina,Petrol
Negotiable,Anuradhapura,0,1500,Toyota,2004,Allion,Petrol
"Rs: 2,300,000",Kandy,0,0,Perodua,2003,Kancil,Petrol
"Rs: 5,975,000",Moratuwa,"160,000",790,Suzuki,2017,Wagon R,Petrol
"Rs: 4,750,000",Dehiwala,"87,000",1000,Suzuki,2014,Celerio,Petrol
Negotiable,Kurunegala,0,1200,Zotye,2019,Z100,Petrol
"Rs: 3,450,000",Polonnaruwa,"153,968",1600,Hyundai,2000,Coupe,Petrol
Negotiable,Kaduruwela,0,1000,Honda,2025,City,Petrol
"Rs: 6,750,000",Moratuwa,"126,650",1339,Honda,2012,Fit,Petrol
"Rs: 3,375,000",Piliyandala,"134,000",1000,Perodua,2004,Kelisa,Petrol
Negotiable,Kaduruwela,0,990,Toyota,2025,Yaris,Petrol
Negotiable,Anuradhapura,0,1496,Toyota,2016,Axio,Petrol
Negotiable,Kaduruwela,0,650,Suzuki,2024,Wagon R,Petrol
Negotiable,Nikaweratiya,0,1200,Toyota,2006,Axio,Petrol
"Rs: 2,400,000",Anuradhapura,"146,935",1500,KIA,2001,Rio,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
Negotiable,Kegalle,"240,000",1300,Mitsubishi,2007,Lancer,Petrol
"Rs: 1,855,000",Kahathuduwa,"180,000",1970,Toyota,1990,Corona,Diesel
"Rs: 6,350,000",Kirulapone,0,1800,Toyota,2005,Aqua,Petrol
"Rs: 3,500,000",Kirulapone,0,800,Suzuki,2010,Alto,Petrol
"Rs: 5,975,000",Panadura,"160,000",650,Suzuki,2017,Wagon R,Petrol
"Rs: 8,400,000",Katugastota,"4,000",1000,Toyota,2023,Passo,Hybrid
Negotiable,Kirulapone,0,1900,Toyota,2010,Premio,Petrol
Negotiable,Kirulapone,"4,580",1800,Toyota,2024,Axio,Petrol
Negotiable,Kirulapone,0,650,Suzuki,2012,Wagon R,Petrol
"Rs: 3,800,000",Anuradhapura,"78,000",796,Suzuki,2016,Alto,Petrol
"Rs: 7,500,000",Kuliyapitiya,"85,000",1000,Toyota,2016,Vitz,Petrol
"Rs: 7,250,000",Adampan,"238,000",1000,Toyota,2016,Vitz,Petrol
"Rs: 1,750,000",Nittambuwa,"97,285",990,Daihatsu,1988,Charade,Diesel
"Rs: 3,550,000",Morontuduwa,"30,200",1300,Micro,2016,Panda,Petrol
"Rs: 3,600,000",Minuwangoda,"110,000",800,Suzuki,2015,Alto,Petrol
"Rs: 5,950,000",Matara,"116,500",1000,Toyota,2007,Belta,Petrol
Negotiable,Nikaweratiya,0,650,Suzuki,2025,Wagon R,Petrol
Negotiable,Maharagama,"93,000",00,Toyota,2013,Vitz,Petrol
"Rs: 3,400,000",Anuradhapura,0,00000,Toyota,1996,Corona,Petrol
"Rs: 6,250,000",Gampaha,"169,000",650,Suzuki,2017,Wagon R,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 3,350,000",Badulla,"46,000",680,Suzuki,2015,Alto,Petrol
Negotiable,Panadura,0,800,Datsun,2016,Redi Go,Petrol
Negotiable,Panadura,0,1000,Micro,2017,Panda,Petrol
Negotiable,Panadura,0,650,Suzuki,2000,Alto,Petrol
Negotiable,Panadura,0,1490,Nissan,2000,AD Wagon,Petrol
"Rs: 3,550,000",Wattala,"132,000",1390,Peugeot,2000,206,Petrol
Negotiable,Panadura,0,990,Toyota,1999,Vitz,Petrol
Negotiable,Panadura,0,670,Suzuki,2016,Spacia,Petrol
Negotiable,Panadura,0,1790,Toyota,2009,Prius,Hybrid
Negotiable,Panadura,0,1000,Zotye,2021,Z100,Petrol
Negotiable,Panadura,0,650,Suzuki,2018,Wagon R,Petrol
"Rs: 3,550,000",Wanela,"82,000",1000,Micro,2015,Panda,Petrol
"Rs: 4,950,000",Batticaloa,"85,328",1000,Suzuki,2015,Celerio,Petrol
"Rs: 3,000,000",Matale,"200,000",660,Suzuki,2010,Alto,Petrol
"Rs: 18,000,000",Kiribathgoda,0,1000,Audi,2023,A3,Petrol
Negotiable,Dehiwala,0,1000,Mercedes Benz,2024,E350,Petrol
"Rs: 9,500,000",Halloluwa,"3,000",990,Suzuki,2024,Spacia,Petrol
"Rs: 6,950,000",Batticaloa,"61,000",658,Suzuki,2018,Wagon R,Petrol
"Rs: 6,800,000",Kiribathgoda,"132,000",1500,Toyota,2012,Aqua,Hybrid
"Rs: 6,900,000",Pannipitiya,"92,500",990,Toyota,2015,Vitz,Petrol
"Rs: 12,500,000",Telijjawila,"82,285",1000,Honda,2017,Civic,Petrol
"Rs: 2,600,000",Mattegoda,"162,481",1331,KIA,2002,Sephia,Petrol
"Rs: 5,500,000",Homagama,"166,600",1000,Toyota,2007,Belta,Petrol
"Rs: 4,075,000",Anuradhapura,"210,000",1490,Nissan,2002,Sunny,Petrol
"Rs: 3,200,000",Matale,"250,000",1500,Toyota,1997,Corolla,Petrol
"Rs: 12,800,000",Borella (Colombo 08),"160,000",1490,Toyota,2016,Allion,Petrol
"Rs: 11,100,000",Halloluwa,0,990,Toyota,2025,Roomy,Petrol
"Rs: 8,499,000",Negombo,"46,000",1000,Toyota,2019,Vitz,Petrol
"Rs: 2,550,000",Kobeigane,0,650,Toyota,2002,Axio,Petrol
"Rs: 1,650,000",Poddala,"300,000",1500,Nissan,1987,Sunny,Petrol
"Rs: 4,790,000",Horana,"183,500",1000,Honda,2004,Accord,Petrol
Negotiable,Kosgama,0,800,Suzuki,2010,Maruti,Petrol
"Rs: 4,950,000",Horana,0,990,Suzuki,2014,Celerio,Petrol
"Rs: 6,300,000",Kurunegala,"148,000",2000,Toyota,2001,Mark II,Petrol
